trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,Fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
66,0,66,0,129.29257610000786,,129.24981960000878,10,129.29257610000786,129.29257610000786,0.020467800000915304,131.51246590001392,[0.43833333333333335],[0.225],[1],[0],[0],[2.242233799988753],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
67,0,67,0,131.5586168000009,,131.51453280000715,10,131.5586168000009,131.5586168000009,0.01956879999488592,133.51329770000302,[0.12],[-0.31833333333333336],[1],[0],[0],[1.9792401000013342],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
68,0,68,0,133.55869520000124,,133.51535380000132,10,133.55869520000124,133.55869520000124,0.02179049998812843,134.86299190000864,[0.05333333333333334],[-0.32166666666666666],[1],[0],[0],[1.325894400011748],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
69,0,69,0,134.907810100005,,134.86521280001034,10,134.907810100005,134.907810100005,0.020832599999266677,137.01276810000127,[0.24166666666666667],[0.12],[1],[0],[0],[2.1268523999897297],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
70,0,70,0,137.05915250000544,,137.01487800000177,10,137.05915250000544,137.05915250000544,0.022147399999084882,139.7954679000104,[-0.26666666666666666],[-0.30333333333333334],[1],[0],[0],[2.7585664999933215],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
71,0,71,0,139.82546030000958,,139.79762190001202,5,139.82546030000958,139.82546030000958,0.011176400003023446,141.2301618000056,[-0.36666666666666664],[-0.275],[1],[0],[0],[1.4214286999922479],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
72,0,72,0,141.27537230000598,,141.23223080000025,10,141.27537230000598,141.27537230000598,0.02035720000276342,143.07919450000918,[0.3616666666666667],[-0.405],[1],[0],[0],[1.8266629999998258],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
73,0,73,0,143.12407010000607,,143.08128100000613,10,143.12407010000607,143.12407010000607,0.019899899998563342,145.8292461000092,"[0.07166666666666667, 0.39]","[-0.04833333333333333, -0.043333333333333335]","[1, 1]","[0, 0]","[0, 0]","[1.644564200003515, 2.728193100003409]",['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
74,0,74,0,145.85766230001173,,145.83134840001003,5,145.85766230001173,145.85766230001173,0.011654100002488121,147.74562410000362,[-0.32],[-0.31166666666666665],[1],[0],[0],[1.9027059999934863],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
75,0,75,0,147.77528970000276,,147.74768310000945,5,147.77528970000276,147.77528970000276,0.011900299999979325,149.26246190001257,[-0.295],[-0.31],[1],[0],[0],[1.5029044999973848],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
76,0,76,0,149.29096470000513,,149.26452290000452,5,149.29096470000513,149.29096470000513,0.011828799993963912,152.79327080000076,[0.07666666666666666],[-0.36666666666666664],[1],[0],[0],[3.5169195999915246],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
77,0,77,0,152.82269950000045,,152.79546450001362,5,152.82269950000045,152.82269950000045,0.010277699999278411,154.6442212000111,[0.16166666666666665],[-0.27666666666666667],[1],[0],[0],[1.838585300007253],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
78,0,78,0,154.68928470001265,,154.64633600000525,10,154.68928470001265,154.68928470001265,0.020623099990189075,156.05990260001272,[0.20166666666666666],[0.07666666666666666],[1],[0],[0],[1.393058799993014],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
79,0,79,0,156.10618810000597,,156.06216410000343,10,156.10618810000597,156.10618810000597,0.02318050000758376,157.47794600001362,[0.4766666666666667],[0.31666666666666665],[1],[0],[0],[1.3926565000001574],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
80,0,80,0,157.52208690000407,,157.48013340000762,10,157.52208690000407,157.52208690000407,0.02083560000755824,159.91041960001166,[-0.3883333333333333],[0.0016666666666666668],[1],[0],[0],[2.409491300000809],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
81,0,81,0,159.9384393000073,,159.9125606000016,5,159.9384393000073,159.9384393000073,0.010948900002404116,161.37668370000029,[0.36666666666666664],[0.15166666666666667],[1],[0],[0],[1.4532394999987446],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
82,0,82,0,161.40567100000044,,161.37875380000332,5,161.40567100000044,161.40567100000044,0.011598299999604933,163.49295170001278,[0.04],[0.05333333333333334],[1],[0],[0],[2.1026759000087623],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
83,0,83,0,163.5225913000031,,163.49502090000897,5,163.5225913000031,163.5225913000031,0.011595200005103834,165.60992240000633,[-0.49833333333333335],[0.315],[1],[0],[0],[2.103460600003018],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
84,0,84,0,165.65442980000807,,165.6121007000038,10,165.65442980000807,165.65442980000807,0.020377100008772686,171.7925016000081,[-0.03666666666666667],[0.05],[1],[0],[0],[6.1601978999970015],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
85,0,85,0,171.82141650000995,,171.79458380000142,5,171.82141650000995,171.82141650000995,0.011366699996870011,173.6407016000012,[-0.16833333333333333],[-0.4166666666666667],[1],[0],[0],[1.8348002999991877],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
86,0,86,0,173.669922400004,,173.64277500000026,5,173.669922400004,173.669922400004,0.00996389999636449,174.5419566000055,[-0.17166666666666666],[-0.36],[1],[0],[0],[0.8893420999957016],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
87,0,87,0,174.57136040000478,,174.54412940000475,5,174.57136040000478,174.57136040000478,0.012425100008840673,176.27435000000696,[0.11833333333333333],[0.38333333333333336],[1],[0],[0],[1.7179349000070943],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
88,0,88,0,176.30247480000253,,176.27641160000348,5,176.30247480000253,176.30247480000253,0.011603199993260205,177.90766260000237,[-0.3],[0.075],[1],[0],[0],[1.6197679000033531],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
89,0,89,0,177.95306400000118,,177.90974570000253,10,177.95306400000118,177.95306400000118,0.02153810000163503,179.52266350001446,[-0.22833333333333333],[-0.2683333333333333],[1],[0],[0],[1.5914755999983754],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
90,0,90,0,179.552342400013,,179.52485580000211,5,179.552342400013,179.552342400013,0.010576600005151704,183.07421070001146,[0.018333333333333333],[-0.013333333333333334],[1],[0],[0],[3.538717200004612],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
91,0,91,0,183.1033763000014,,183.07643530001224,5,183.1033763000014,183.1033763000014,0.011869699999806471,184.57405490000383,[-0.31833333333333336],[0.15333333333333332],[1],[0],[0],[1.4858615999983158],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
92,0,92,0,184.61945360001118,,184.57611230001203,10,184.61945360001118,184.61945360001118,0.020739499988849275,187.5577261000144,[-0.4483333333333333],[-0.43333333333333335],[1],[0],[0],[2.9609361000038916],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
93,0,93,0,187.58565870000166,,187.55992340001103,5,187.58565870000166,187.58565870000166,0.01148770000145305,188.9066746000026,[-0.34],[-0.32666666666666666],[1],[0],[0],[1.3354010000039125],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
94,0,94,0,188.9355249000073,,188.9087298000086,5,188.9355249000073,188.9355249000073,0.012198600001283921,190.90612970000075,[0.33666666666666667],[0.4116666666666667],[1],[0],[0],[1.985308499992243],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
95,0,95,0,190.93518510001013,,190.9082206000021,5,190.93518510001013,190.93518510001013,0.011215899998205714,192.62247100000968,[-0.36],[0.185],[1],[0],[0],[1.7031947999930708],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
96,0,96,0,192.65198480000254,,192.62455140000384,5,192.65198480000254,192.65198480000254,0.011112299995147623,194.4229161000112,[-0.23833333333333334],[-0.15166666666666667],[1],[0],[0],[1.7873114999965765],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
97,0,97,0,194.45088490001217,,194.42500460000883,5,194.45088490001217,194.45088490001217,0.012156400000094436,196.18746400000236,[0.18333333333333332],[0.22666666666666666],[1],[0],[0],[1.7504388999950606],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
98,0,98,0,196.21700450000935,,196.1895322000055,5,196.21700450000935,196.21700450000935,0.010408799993456341,201.25485290000506,"[0.035, 0.3616666666666667]","[-0.028333333333333332, 0.49166666666666664]","[1, 1]","[0, 0]","[0, 0]","[3.504832399994484, 5.05501889999141]",['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
99,0,99,0,201.30004380000173,,201.2569455000048,10,201.30004380000173,201.30004380000173,0.02009669999824837,202.90468910000345,[-0.365],[0.3383333333333333],[1],[0],[0],[1.6277412000054028],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
100,0,100,0,202.94991440000013,,202.90676600000006,10,202.94991440000013,202.94991440000013,0.02037739999650512,204.48766030000115,[0.22],[0.35833333333333334],[1],[0],[0],[1.5605628000048455],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
101,0,101,0,204.53355590000865,,204.48975270001392,10,204.53355590000865,204.53355590000865,0.020894700006465428,207.17052860000695,[-0.24666666666666667],[0.3883333333333333],[1],[0],[0],[2.659953599999426],['target'],1,001,2024-10-10_11h46.34.775,Visual search task,2024.1.5,None,2024-10-10 11h47.23.417261 +0530,
